skill,MAE,MAPE%,total
Scala,1.966439462365236,18.00122504931709,5542
AWS,2.062875680229956,26.671005501197133,4125
Docker,2.352625576146035,43.97021917340347,3769
Spark,2.393311885574216,37.44244340514678,4419
Deep Learning,2.4323451635793405,41.453911056965914,4250
Azure,2.4907401608899193,31.940963710076787,4281
Mathematics,2.6131143201844993,36.88758708799521,3879
NLP,2.680005954057955,35.181756647024116,4223
Git,2.6914279693497702,32.371155187259504,5122
Linux,2.7120064298335693,27.009899580385543,5347
Computer Vision,2.7257059509974835,37.38703101490237,4560
TensorFlow,2.7295415710886735,22.840281480805096,6118
Data Visualization,2.787039365343266,30.326026903884685,4544
R,2.8271027189743783,46.212909831593414,4657
Hadoop,2.8544465987753984,38.26373885972495,4762
Statistics,2.8732363293628587,47.89956462972942,3648
MLOps,2.8927313029120447,40.38091634152749,4309
Tableau,2.9061251452368593,35.24712716526635,4654
Kubernetes,2.963995709063888,25.480169086816197,6087
GCP,2.974996126792045,41.34903817635179,4902
Java,2.9894449294547703,31.07866496941851,5109
PyTorch,3.0058829171472157,34.81369374300981,5608
SQL,3.6060252773303905,28.02096900467802,6918
Python,3.8767768617729996,21.607189778664758,8949
